Player Name,Club
Lucas Chevalier,Paris Saint-Germain
Matvey Safonov,Paris Saint-Germain
Renato Marin,Paris Saint-Germain
Willian Pacho,Paris Saint-Germain
Ilya Zabarnyi,Paris Saint-Germain
Marquinhos,Paris Saint-Germain
Lucas Beraldo,Paris Saint-Germain
Nuno Mendes,Paris Saint-Germain
Lucas Hernandez,Paris Saint-Germain
Achraf Hakimi,Paris Saint-Germain
Vitinha,Paris Saint-Germain
Joao Neves,Paris Saint-Germain
Warren Zaire-Emery,Paris Saint-Germain
Fabian Ruiz,Paris Saint-Germain
Senny Mayulu,Paris Saint-Germain
Kang-in Lee,Paris Saint-Germain
Dro Fernandez,Paris Saint-Germain
Khvicha Kvaratskhelia,Paris Saint-Germain
Bradley Barcola,Paris Saint-Germain
Quentin Ndjantou,Paris Saint-Germain
Desire Doue,Paris Saint-Germain
Ibrahim Mbaye,Paris Saint-Germain
Ousmane Dembele,Paris Saint-Germain
Goncalo Ramos,Paris Saint-Germain
Philipp Kohn,AS Monaco
Lukas Hradecky,AS Monaco
Jules Stawiecki,AS Monaco
Yann Lienard,AS Monaco
Thilo Kehrer,AS Monaco
Christian Mawissa,AS Monaco
Mohammed Salisu,AS Monaco
Wout Faes,AS Monaco
Eric Dier,AS Monaco
Caio Henrique,AS Monaco
Kassoum Ouattara,AS Monaco
Vanderson,AS Monaco
Jordan Teze,AS Monaco
Denis Zakaria,AS Monaco
Aladji Bamba,AS Monaco
Lamine Camara,AS Monaco
Mamadou Coulibaly,AS Monaco
Paul Pogba,AS Monaco
Krepin Diatta,AS Monaco
Aleksandr Golovin,AS Monaco
Stanis Idumbo,AS Monaco
Simon Adingra,AS Monaco
Ansu Fati,AS Monaco
Takumi Minamino,AS Monaco
Maghnes Akliouche,AS Monaco
Folarin Balogun,AS Monaco
Mika Biereth,AS Monaco
Paris Brunner,AS Monaco
Geronimo Rulli,Olympique Marseille
Jeffrey de Lange,Olympique Marseille
Jelle Van Neck,Olympique Marseille
Nayef Aguerd,Olympique Marseille
Leonardo Balerdi,Olympique Marseille
Facundo Medina,Olympique Marseille
Benjamin Pavard,Olympique Marseille
CJ Egan-Riley,Olympique Marseille
Emerson,Olympique Marseille
Arthur Vermeeren,Olympique Marseille
Pierre-Emile Hjbjerg,Olympique Marseille
Geoffrey Kondogbia,Olympique Marseille
Tochukwu Nnadi,Olympique Marseille
Quinten Timber,Olympique Marseille
Bilal Nadir,Olympique Marseille
Timothy Weah,Olympique Marseille
Ethan Nwaneri,Olympique Marseille
Himad Abdelli,Olympique Marseille
Igor Paixao,Olympique Marseille
Hamed Traore,Olympique Marseille
Mason Greenwood,Olympique Marseille
Amine Gouiri,Olympique Marseille
Pierre-Emerick Aubameyang,Olympique Marseille
Mike Penders,RC Strasbourg Alsace
Stefan Bajic,RC Strasbourg Alsace
Karl-Johan Johnsson,RC Strasbourg Alsace
Ismael Doukoure,RC Strasbourg Alsace
Lucas Hgsberg,RC Strasbourg Alsace
Aaron Anselmino,RC Strasbourg Alsace
Andrew Omobamidele,RC Strasbourg Alsace
Ben Chilwell,RC Strasbourg Alsace
Guela Doue,RC Strasbourg Alsace
Abdoul Ouattara,RC Strasbourg Alsace
Junior Mwanga,RC Strasbourg Alsace
Maxi Oyedele,RC Strasbourg Alsace
Rafael Luis,RC Strasbourg Alsace
Valentin Barco,RC Strasbourg Alsace
Samir El Mourabet,RC Strasbourg Alsace
Mathis Amougou,RC Strasbourg Alsace
Diego Moreira,RC Strasbourg Alsace
Sebastian Nanasi,RC Strasbourg Alsace
Julio Enciso,RC Strasbourg Alsace
Martial Godo,RC Strasbourg Alsace
Gessime Yassine,RC Strasbourg Alsace
Samuel Amo-Ameyaw,RC Strasbourg Alsace
Joaquin Panichelli,RC Strasbourg Alsace
Emmanuel Emegha,RC Strasbourg Alsace
David Datro Fofana,RC Strasbourg Alsace
abner vinicius,Olympique Lyon
Dominik Greif,Olympique Lyon
Remy Descamps,Olympique Lyon
Lassine Diarra,Olympique Lyon
Moussa Niakhate,Olympique Lyon
Ruben Kluivert,Olympique Lyon
Clinton Mata,Olympique Lyon
Noham Kamara,Olympique Lyon
Abner,Olympique Lyon
Nicolas Tagliafico,Olympique Lyon
Achraf Laaziri,Olympique Lyon
Ainsley Maitland-Niles,Olympique Lyon
Hans Hateboer,Olympique Lyon
Steeve Kango,Olympique Lyon
Tyler Morton,Olympique Lyon
Orel Mangala,Olympique Lyon
Tanner Tessmann,Olympique Lyon
Mathys de Carvalho,Olympique Lyon
Corentin Tolisso,Olympique Lyon
Khalis Merah,Olympique Lyon
Pavel Sulc,Olympique Lyon
Noah Nartey,Olympique Lyon
Adam Karabec,Olympique Lyon
Malick Fofana,Olympique Lyon
Afonso Moreira,Olympique Lyon
Remi Himbert,Olympique Lyon
Ernest Nuamah,Olympique Lyon
Rachid Ghezzal,Olympique Lyon
Endrick,Olympique Lyon
Roman Yaremchuk,Olympique Lyon
Berke Ozer,LOSC Lille
Arnaud Bodart,LOSC Lille
Marc-Aurele Caillard,LOSC Lille
Nathan Ngoy,LOSC Lille
Alexsandro,LOSC Lille
Chancel Mbemba,LOSC Lille
Aissa Mandi,LOSC Lille
Rafael Fernandes,LOSC Lille
Ousmane Toure,LOSC Lille
Romain Perraud,LOSC Lille
Calvin Verdonk,LOSC Lille
Tiago Santos,LOSC Lille
Thomas Meunier,LOSC Lille
Ngal'ayel Mukau,LOSC Lille
Nabil Bentaleb,LOSC Lille
Benjamin Andre,LOSC Lille
